iter	Passed	Remaining
126	10584405	72757367
127	10668727	72680708
128	10753870	72609468
129	10839115	72538694
130	10925100	72472613
131	11013051	72419155
132	11098329	72347759
133	11183719	72276874
134	11262292	72162093
135	11348090	72093749
136	11435691	72036507
137	11511796	71907018
138	11596482	71831447
139	11682226	71762248
140	11768513	71696121
141	11855727	71635309
142	11939863	71555688
143	12019323	71448200
144	12106189	71384771
145	12194912	71331887
146	12283289	71276502
147	12360948	71158973
148	12449142	71102149
149	12530232	71004653
150	12606233	70878754
151	12690717	70800845
152	12777881	70737684
153	12867080	70685390
154	12945224	70572352
155	13031956	70506224
156	13118987	70441441
157	13205304	70372572
158	13293017	70310868
159	13381596	70253381
160	13460310	70144105
161	13545975	70071157
162	13625355	69965784
163	13702870	69851215
164	13792246	69797125
165	13876339	69716066
166	13955349	69609619
167	14031656	69490109
168	14118066	69420788
169	14195902	69309407
170	14282753	69242122
171	14371421	69183354
172	14449053	69071485
173	14536723	69007663
174	14621844	68931551
175	14704755	68844993
176	14790352	68770959
177	14867581	68658156
178	14953379	68585055
179	15030817	68473722
180	15108623	68364433
181	15186518	68255891
182	15274831	68194193
183	15361791	68126204
184	15449695	68062172
185	15537376	67996906
186	15621382	67915423
187	15710597	67856410
188	15796257	67781823
189	15882790	67710844
190	15960229	67601179
191	16035092	67481016
192	16119738	67402221
193	16197691	67295561
194	16275621	67189102
195	16357485	67099071
196	16436137	66996031
197	16513382	66887539
198	16599561	66815320
199	16688383	66753533
200	16774607	66681153
201	16862138	66613795
202	16949508	66545605
203	17027173	66439363
204	17113489	66366948
205	17199883	66294696
206	17279516	66196407
207	17367057	66128412
208	17456330	66066781
209	17544661	66001345
210	17618893	65882971
211	17706028	65812973
212	17792502	65740371
213	17871619	65640622
214	17961210	65579303
215	18049596	65513348
216	18127648	65409901
217	18216261	65344571
218	18305886	65282637
219	18391491	65206198
220	18470279	65105646
221	18550171	65009160
222	18630533	64914460
223	18720743	64854003
224	18797416	64746657
225	18874504	64641002
226	18962903	64574114
227	19049415	64500652
228	19127908	64400076
229	19214271	64326038
230	19302295	64257425
231	19392377	64195456
232	19478479	64120145
233	19564112	64043205
234	19651855	63973062
235	19741423	63908675
236	19829231	63838411
237	19914725	63760593
238	20003961	63694623
239	20091043	63621636
240	20176912	63544716
241	20263454	63469827
242	20348617	63390548
243	20427221	63290899
244	20507587	63196850
245	20588162	63103555
246	20674830	63028935
247	20754956	62934384
248	20843715	62865984
249	20930176	62790529
250	21019130	62722425
251	21098395	62625395
252	21182723	62543455
253	21268220	62464931
254	21357700	62397986
255	21438084	62304431
256	21524363	62228024
257	21612641	62157286
258	21693367	62064807
259	21781888	61994605
260	21868573	61919065
261	21957912	61850912
262	22042923	61770473
263	22120878	61670328
264	22206696	61592158
265	22292528	61513969
266	22381844	61445288
267	22462129	61351787
268	22550697	61280892
269	22630792	61186958
270	22717675	61111384
271	22804104	61034514
272	22883972	60940102
273	22963585	60845121
274	23049669	60767309
275	23134318	60685677
276	23223444	60615706
277	23307690	60532921
278	23395328	60458896
279	23476106	60367131
280	23562343	60289412
281	23650545	60216636
282	23736944	60139184
283	23821299	60056515
284	23897471	59953306
285	23974047	59851293
286	24062700	59779462
287	24140802	59681427
288	24226343	59601835
289	24304486	59504086
290	24390824	59426442
291	24480002	59355622
292	24557607	59256753
293	24637131	59162635
294	24715730	59066405
295	24792174	58965172
296	24878333	58887098
297	24956203	58789445
298	25033818	58691327
299	25122808	58619887
300	25210164	58544535
301	25297084	58468096
302	25383489	58390402
303	25462387	58295465
304	25540313	58198418
305	25616806	58098247
306	25706129	58027191
307	25795377	57955848
308	25883355	57881547
309	25965763	57794763
310	26051811	57716071
311	26140038	57642136
312	26226214	57563608
313	26306478	57472114
314	26391828	57391753
315	26482453	57322778
316	26570026	57247091
317	26650566	57156245
318	26737118	57078299
319	26825216	57003585
320	26909917	56921600
321	26989137	56828060
322	27068575	56735064
323	27156182	56659194
324	27243080	56581782
325	27328981	56502249
326	27410486	56413630
327	27501033	56343579
328	27577256	56244192
329	27660761	56159727
330	27739179	56064988
331	27825955	55987164
332	27905615	55895031
333	27981913	55796270
334	28062204	55705570
335	28151291	55632314
336	28230126	55538795
337	28317986	55463039
338	28406527	55388539
339	28485379	55295147
340	28559757	55193196
341	28646122	55114469
342	28722522	55016609
343	28816853	54953069
344	28904839	54877304
345	28984410	54785562
346	29071675	54708368
347	29148873	54612257
348	29234262	54531533
349	29313525	54439403
350	29402979	54366193
351	29490365	54289081
352	29577223	54210945
353	29662650	54130148
354	29739048	54032918
355	29826715	53956192
356	29904912	53862349
357	29995360	53790562
358	30074576	53698616
359	30168286	53632508
360	30257119	53557615
